pos	p_trg	p_err	rpm	r_trg	r_err
1	0	31655	151605	4	-861930276	31655
1	0	31655	151612	4	-861930276	31655
1	0	31655	151618	4	-861930276	31655
1	0	31655	151623	4	-861930276	31655
1	0	31655	151628	4	-861930276	31655
1	0	31655	151634	4	-861930276	31655
1	0	31655	151674	4	-861930276	31655
1	0	31655	151680	4	-861930276	31655
1	0	31655	151686	4	-861930276	31655
1	0	31655	151691	4	-861930276	31655
1	0	31655	151696	4	-861930276	31655
1	0	31655	151702	4	-861930276	31655
1	0	31655	151742	4	-861930276	31655
1	0	31655	151748	4	-861930276	31655
1	0	31655	151753	4	-861930276	31655
1	0	31655	151759	4	-861930276	31655
1	0	31655	151764	4	-861930276	31655
1	0	31655	151769	4	-861930276	31655
1	0	31655	151774	4	-861930276	31655
1	0	31655	151780	4	-861930276	31655
1	0	31655	151786	4	-861930276	31655
1	0	31655	151791	4	-861930276	31655
1	0	31655	151831	4	-861930276	31655
1	0	31655	151838	4	-861930276	31655
1	0	31655	151844	4	-861930276	31655
1	0	31655	151849	4	-861930276	31655
1	0	31655	151855	4	-861930276	31655
1	0	31655	151860	4	-861930276	31655
1	0	31655	151900	4	-861930276	31655
1	0	31655	151907	4	-861930276	31655
1	0	31655	151912	4	-861930276	31655
1	0	31655	151918	4	-861930276	31655
1	0	31655	151923	4	-861930276	31655
1	0	31655	151929	4	-861930276	31655
1	0	31655	151934	4	-861930276	31655
1	0	31655	151940	4	-861930276	31655
1	0	31655	151945	4	-861930276	31655
1	0	31655	151951	4	-861930276	31655
1	0	31655	151991	4	-861930276	31655
2	0	31655	151997	4	-861930276	31655
2	0	31655	152002	4	-861930276	31655
2	0	31655	152006	4	-861930276	31655
2	0	31655	152011	4	-861930276	31655
2	0	31655	152015	4	-861930276	31655
2	0	31655	152020	4	-861930276	31655
2	0	31655	152025	4	-861930276	31655
2	0	31655	152072	4	-861930276	31655
2	0	31655	152079	4	-861930276	31655
2	0	31655	152083	4	-861930276	31655
2	0	31655	152088	4	-861930276	31655
2	0	31655	152092	4	-861930276	31655
2	0	31655	152097	4	-861930276	31655
2	0	31655	152101	4	-861930276	31655
2	0	31655	152105	4	-861930276	31655
2	0	31655	152110	4	-861930276	31655
2	0	31655	152114	4	-861930276	31655
2	0	31655	152119	4	-861930276	31655
2	0	31655	152123	4	-861930276	31655
2	0	31655	152159	4	-861930276	31655
902	0	3	938837	4	-861934240	31655
994	0	31655	56552	4	-861934240	31655
1096	0	31655	147278	4	-861934240	31655
1206	0	31655	250086	4	-861934240	31655
1310	0	31655	360802	4	-861934240	31655
1411	0	31655	464333	4	-861934240	31655
1514	0	31655	565542	4	-861934240	31655
1616	0	31655	671050	4	-861934240	31655
1721	0	31655	782311	4	-861934240	31655
1821	0	31655	877849	4	-861934240	31655
1928	0	31655	975218	4	-861934240	31655
2030	0	31655	81360	4	-861934240	31655
2133	0	31655	183959	4	-861934240	31655
2245	0	31655	394598	4	-861934240	31655
2342	0	31655	395028	4	-861934240	31655
2453	0	31655	497240	4	-861934240	31655
2546	0	31655	626583	4	-861934240	31655
2653	0	31655	701446	4	-861934240	31655
2755	0	31655	809546	4	-861934240	31655
2857	0	31655	908689	4	-861934240	31655
2964	0	31655	11457	4	-861934240	31655
3067	0	31655	120857	4	-861934240	31655
3169	0	31655	224144	4	-861934240	31655
3271	0	31655	322664	4	-861934240	31655
3379	0	31655	425011	4	-861934240	31655
3480	0	31655	533068	4	-861934240	31655
3582	0	31655	634376	4	-861934240	31655
3690	0	31655	736218	4	-861934240	31655
3791	0	31655	843638	4	-861934240	31655
3894	0	31655	944930	4	-861934240	31655
3996	0	31655	48006	4	-861934240	31655
